unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
3,1,4,20.0031,0.7005,0.0,491.19,607.03,1488.44,1249.18,9.35,13.65,334.82,2323.85,8721.53,1.08,44.26,314.84,2388.07,8052.3,9.2231,0.02,364,2324,100.0,24.42,14.7832,1,2
5,1,6,20.0032,0.7017,0.0,491.19,607.37,1480.46,1258.9,9.35,13.65,334.51,2323.94,8711.44,1.08,44.4,315.36,2388.05,8053.17,9.2276,0.02,364,2324,100.0,24.44,14.7019,1,2
22,1,23,20.0025,0.7011,0.0,491.19,607.1,1482.68,1252.0,9.35,13.66,334.49,2323.91,8716.75,1.08,44.44,314.87,2388.1,8050.94,9.2149,0.02,366,2324,100.0,24.58,14.6688,1,2
30,1,31,20.0045,0.7006,0.0,491.19,607.38,1483.93,1256.88,9.35,13.66,334.3,2323.91,8715.5,1.08,44.33,314.94,2388.12,8059.58,9.2111,0.02,366,2324,100.0,24.48,14.7826,2,2
44,1,45,20.0062,0.7,0.0,491.19,607.58,1477.33,1250.58,9.35,13.65,334.8,2323.91,8715.69,1.08,44.49,315.06,2388.09,8054.67,9.2541,0.02,364,2324,100.0,24.6,14.7028,2,2
74,1,75,20.0072,0.702,0.0,491.19,607.25,1482.81,1248.39,9.35,13.66,334.53,2323.92,8717.78,1.08,44.28,314.92,2388.11,8058.31,9.206,0.02,366,2324,100.0,24.57,14.6982,3,2
75,1,76,20.0026,0.7009,0.0,491.19,607.14,1483.93,1250.76,9.35,13.66,334.73,2324.01,8717.13,1.08,44.42,315.12,2388.14,8054.93,9.2571,0.02,365,2324,100.0,24.53,14.748,3,2
92,1,93,19.9995,0.7017,0.0,491.19,607.2,1484.96,1250.94,9.35,13.66,335.09,2323.95,8719.79,1.08,44.45,315.23,2388.12,8054.85,9.2227,0.03,364,2324,100.0,24.31,14.6288,3,2
93,1,94,20.0017,0.7,0.0,491.19,607.13,1483.16,1255.13,9.35,13.65,334.77,2323.99,8721.5,1.08,44.43,315.12,2388.12,8057.8,9.2312,0.02,366,2324,100.0,24.49,14.6233,3,2
99,1,100,20.0022,0.7,0.0,491.19,607.44,1486.82,1253.04,9.35,13.66,334.46,2323.95,8720.51,1.08,44.42,315.0,2388.11,8061.32,9.2295,0.02,366,2324,100.0,24.41,14.5674,3,2
108,1,109,20.0068,0.7013,0.0,491.19,607.71,1490.65,1252.71,9.35,13.66,334.5,2323.95,8719.98,1.08,44.35,315.01,2388.08,8059.83,9.2418,0.02,365,2324,100.0,24.55,14.5912,3,2
112,1,113,20.0019,0.7,0.0,491.19,606.89,1486.36,1249.86,9.35,13.66,334.72,2323.91,8719.05,1.08,44.49,314.97,2388.11,8053.13,9.2605,0.02,366,2324,100.0,24.26,14.8251,3,2
118,1,119,20.0069,0.7018,0.0,491.19,607.4,1486.79,1253.69,9.35,13.66,335.16,2324.0,8729.48,1.07,44.33,314.85,2388.08,8063.08,9.2365,0.02,366,2324,100.0,24.39,14.6209,3,2
125,1,126,20.0063,0.7,0.0,491.19,608.0,1477.41,1250.98,9.35,13.66,334.66,2323.99,8715.79,1.08,44.29,314.37,2388.11,8061.03,9.1992,0.02,365,2324,100.0,24.39,14.5678,3,2
131,1,132,20.0032,0.7,0.0,491.19,607.93,1485.05,1249.64,9.35,13.66,334.06,2324.0,8721.03,1.08,44.59,314.46,2388.08,8051.67,9.2452,0.02,364,2324,100.0,24.53,14.6249,3,2
139,1,140,19.9991,0.7,0.0,491.19,607.48,1486.86,1249.79,9.35,13.66,334.7,2324.08,8724.66,1.08,44.47,314.66,2388.1,8057.26,9.2164,0.02,365,2324,100.0,24.35,14.622,3,2
146,1,147,20.0067,0.7,0.0,491.19,607.88,1488.16,1246.37,9.35,13.66,334.13,2324.06,8727.06,1.08,44.5,314.43,2388.16,8063.6,9.2537,0.03,367,2324,100.0,24.37,14.726,3,2
155,1,156,20.0068,0.7011,0.0,491.19,607.81,1488.11,1252.88,9.35,13.66,334.82,2324.02,8713.99,1.07,44.53,314.33,2388.14,8059.9,9.2224,0.02,366,2324,100.0,24.61,14.6497,3,2
162,1,163,20.0004,0.7004,0.0,491.19,607.74,1485.66,1251.67,9.35,13.66,333.89,2324.07,8724.42,1.07,44.54,314.75,2388.13,8060.6,9.2607,0.03,365,2324,100.0,24.39,14.7258,3,2
169,1,170,20.0014,0.7014,0.0,491.19,607.73,1489.05,1259.34,9.35,13.66,334.98,2324.02,8724.9,1.07,44.74,314.57,2388.13,8062.28,9.2411,0.02,368,2324,100.0,24.38,14.6581,3,2
172,1,173,20.0035,0.7,0.0,491.19,607.85,1484.08,1252.9,9.35,13.66,334.76,2324.0,8729.61,1.07,44.46,314.77,2388.17,8058.9,9.2737,0.02,367,2324,100.0,24.4,14.6479,4,2
184,1,185,20.0013,0.7001,0.0,491.19,607.55,1486.06,1266.79,9.35,13.66,334.21,2324.09,8728.3,1.08,44.52,313.75,2388.16,8061.82,9.2771,0.03,368,2324,100.0,24.48,14.4489,4,2
185,1,186,20.0041,0.7,0.0,491.19,608.77,1489.0,1259.15,9.35,13.66,334.05,2324.08,8728.86,1.07,44.68,313.86,2388.18,8057.61,9.2808,0.03,366,2324,100.0,24.22,14.6767,4,2
197,1,198,19.999,0.7,0.0,491.19,608.42,1492.94,1262.57,9.35,13.66,333.49,2324.09,8729.35,1.07,44.88,314.19,2388.22,8053.41,9.2775,0.03,368,2324,100.0,24.45,14.5761,4,2
201,1,202,19.9999,0.7006,0.0,491.19,608.05,1498.66,1263.61,9.35,13.66,333.54,2324.15,8735.59,1.07,44.68,313.65,2388.25,8060.56,9.3002,0.03,367,2324,100.0,24.37,14.6509,4,2
215,1,216,20.0065,0.7,0.0,491.19,608.06,1495.47,1276.75,9.35,13.66,333.9,2324.15,8727.36,1.08,44.97,314.22,2388.23,8062.43,9.3246,0.03,369,2324,100.0,24.18,14.6253,4,2
221,1,222,20.0003,0.7001,0.0,491.19,608.0,1494.99,1270.18,9.35,13.66,333.03,2324.18,8743.42,1.07,45.04,313.64,2388.37,8065.53,9.2846,0.03,369,2324,100.0,24.28,14.5645,4,2
227,2,5,20.0023,0.7,0.0,491.19,606.99,1477.32,1237.14,9.35,13.65,335.07,2323.86,8725.03,1.08,43.98,315.07,2388.01,8056.67,9.1704,0.02,364,2324,100.0,24.62,14.8277,2,2
239,2,17,20.0046,0.7,0.0,491.19,607.34,1475.4,1247.43,9.35,13.65,335.09,2323.89,8726.75,1.08,44.03,315.87,2388.03,8060.14,9.1847,0.02,364,2324,100.0,24.53,14.8047,3,2
240,2,18,20.0044,0.7003,0.0,491.19,607.36,1473.52,1243.84,9.35,13.65,334.92,2323.9,8719.0,1.08,43.99,315.21,2388.06,8066.27,9.1714,0.02,361,2324,100.0,24.65,14.7188,3,2
252,2,30,20.0075,0.7004,0.0,491.19,606.79,1475.73,1244.02,9.35,13.65,335.08,2323.86,8719.79,1.08,44.19,315.58,2388.02,8062.39,9.2031,0.02,364,2324,100.0,24.45,14.7868,3,2
261,2,39,19.9992,0.7013,0.0,491.19,607.53,1480.07,1249.47,9.35,13.65,335.26,2323.92,8725.04,1.08,44.03,315.91,2388.03,8059.85,9.2183,0.02,363,2324,100.0,24.59,14.746,3,2
266,2,44,20.0044,0.7,0.0,491.19,607.14,1474.94,1244.13,9.35,13.66,334.67,2323.92,8717.58,1.08,44.16,315.17,2388.04,8068.82,9.2115,0.02,365,2324,100.0,24.52,14.7923,3,2
273,2,51,20.0023,0.7,0.0,491.19,606.87,1480.73,1244.01,9.35,13.65,334.6,2323.89,8712.94,1.08,44.27,315.43,2388.02,8059.73,9.2019,0.02,363,2324,100.0,24.73,14.8075,3,2
278,2,56,20.006,0.7,0.0,491.19,606.63,1482.69,1241.76,9.35,13.65,334.94,2323.87,8724.59,1.08,44.09,314.91,2388.09,8056.76,9.1852,0.02,365,2324,100.0,24.79,14.889,3,2
296,2,74,20.0048,0.7,0.0,491.19,607.19,1481.48,1243.47,9.35,13.65,335.36,2323.92,8719.47,1.08,44.25,315.21,2388.04,8060.36,9.2192,0.02,364,2324,100.0,24.49,14.7531,3,2
302,2,80,20.0036,0.7017,0.0,491.19,607.29,1479.26,1244.81,9.35,13.65,334.82,2323.94,8714.6,1.08,44.18,314.8,2388.05,8064.19,9.1918,0.02,363,2324,100.0,24.51,14.7544,3,2
307,2,85,20.0056,0.7002,0.0,491.19,607.27,1481.39,1252.28,9.35,13.65,335.41,2323.93,8721.51,1.08,44.2,315.42,2388.05,8061.55,9.1875,0.02,363,2324,100.0,24.63,14.7306,3,2
330,2,108,20.0038,0.7,0.0,491.19,607.66,1480.13,1246.13,9.35,13.66,334.63,2323.93,8724.0,1.08,44.34,315.52,2388.07,8061.39,9.229,0.02,366,2324,100.0,24.56,14.7454,3,2
333,2,111,19.9983,0.7,0.0,491.19,608.06,1483.52,1250.84,9.35,13.66,334.44,2323.89,8710.8,1.07,44.37,314.71,2388.03,8064.98,9.2505,0.02,365,2324,100.0,24.29,14.7522,3,2
336,2,114,19.9998,0.7,0.0,491.19,607.38,1487.21,1252.05,9.35,13.66,334.26,2323.93,8708.9,1.08,44.34,315.2,2388.05,8056.66,9.2351,0.02,365,2324,100.0,24.5,14.6395,4,2
339,2,117,20.0014,0.7009,0.0,491.19,607.53,1494.91,1259.91,9.35,13.65,334.41,2323.98,8720.97,1.08,44.36,315.09,2388.09,8056.58,9.2405,0.02,365,2324,100.0,24.46,14.6542,4,2
340,2,118,19.9986,0.7002,0.0,491.19,607.61,1484.73,1250.92,9.35,13.66,334.79,2323.95,8724.47,1.08,44.54,314.84,2388.08,8058.38,9.2452,0.02,365,2324,100.0,24.59,14.7167,4,2
341,2,119,20.007,0.7007,0.0,491.19,607.3,1487.17,1253.15,9.35,13.66,334.6,2323.97,8713.91,1.08,44.42,314.74,2388.14,8057.55,9.2064,0.02,366,2324,100.0,24.36,14.7858,4,2
343,2,121,20.0058,0.7,0.0,491.19,607.67,1487.76,1248.9,9.35,13.65,334.19,2323.96,8716.85,1.08,44.3,314.92,2388.04,8052.59,9.2448,0.03,365,2324,100.0,24.51,14.6259,4,2
344,2,122,20.0059,0.7005,0.0,491.19,606.97,1489.52,1248.12,9.35,13.66,334.28,2323.92,8713.93,1.08,44.33,314.27,2388.09,8056.88,9.2792,0.02,366,2324,100.0,24.36,14.6083,4,2
346,2,124,20.0017,0.7,0.0,491.19,607.9,1481.96,1255.4,9.35,13.66,334.48,2323.99,8715.01,1.08,44.38,314.79,2388.11,8057.45,9.2058,0.02,367,2324,100.0,24.58,14.6722,4,2
347,2,125,19.999,0.7003,0.0,491.19,606.77,1486.69,1246.4,9.35,13.66,334.45,2323.96,8721.93,1.08,44.38,314.95,2388.08,8060.08,9.2627,0.02,365,2324,100.0,24.4,14.6708,4,2
357,2,135,19.9994,0.7,0.0,491.19,608.05,1482.3,1256.34,9.35,13.66,333.67,2324.0,8712.79,1.07,44.73,315.27,2388.19,8053.15,9.2556,0.02,366,2324,100.0,24.46,14.7083,4,2
358,2,136,19.999,0.7,0.0,491.19,607.63,1483.97,1255.29,9.35,13.66,334.31,2323.98,8713.24,1.07,44.46,313.97,2388.16,8059.89,9.257,0.02,366,2324,100.0,24.28,14.5858,4,2
359,2,137,20.0009,0.7017,0.0,491.19,607.61,1482.52,1265.27,9.35,13.66,333.44,2324.0,8717.61,1.08,44.5,314.43,2388.1,8053.68,9.2346,0.02,367,2324,100.0,24.42,14.5442,4,2
362,2,140,20.0034,0.7018,0.0,491.19,608.29,1496.41,1253.31,9.35,13.66,333.89,2324.02,8721.16,1.08,44.78,314.98,2388.12,8053.48,9.2552,0.02,367,2324,100.0,24.35,14.6328,4,2
363,2,141,19.9991,0.7,0.0,491.19,607.81,1489.6,1261.22,9.35,13.66,334.09,2323.99,8719.22,1.08,44.57,314.24,2388.15,8052.52,9.2703,0.02,366,2324,100.0,24.29,14.6533,4,2
372,2,150,20.0009,0.7006,0.0,491.19,608.54,1491.37,1261.63,9.35,13.66,333.93,2324.02,8717.63,1.07,44.76,313.98,2388.14,8046.5,9.304,0.03,368,2324,100.0,24.29,14.7279,4,2
387,3,1,19.9998,0.7013,0.0,491.19,607.76,1486.02,1257.26,9.35,13.65,334.39,2323.86,8709.62,1.08,44.35,314.88,2387.99,8051.56,9.2128,0.02,367,2324,100.0,24.51,14.6936,3,2
388,3,2,20.0071,0.7012,0.0,491.19,607.88,1479.31,1248.52,9.35,13.66,334.46,2323.89,8704.23,1.08,44.47,314.76,2388.02,8041.32,9.2346,0.02,364,2324,100.0,24.45,14.7728,3,2
390,3,4,19.9982,0.7,0.0,491.19,607.72,1486.79,1256.06,9.35,13.66,334.63,2323.93,8714.22,1.08,44.48,315.18,2388.02,8042.88,9.2142,0.03,365,2324,100.0,24.47,14.6214,3,2
396,3,10,20.0017,0.7,0.0,491.19,608.29,1483.81,1254.41,9.35,13.66,334.62,2323.96,8705.33,1.07,44.56,314.85,2388.04,8042.96,9.2675,0.02,366,2324,100.0,24.58,14.7289,3,2
401,3,15,20.0025,0.7009,0.0,491.19,607.67,1485.07,1253.46,9.35,13.65,334.88,2323.94,8702.95,1.08,44.63,314.9,2388.08,8049.97,9.244,0.02,367,2324,100.0,24.41,14.7096,3,2
403,3,17,20.0005,0.7008,0.0,491.19,607.38,1488.49,1253.5,9.35,13.66,334.85,2323.96,8704.96,1.08,44.47,314.89,2388.02,8048.64,9.227,0.02,365,2324,100.0,24.34,14.6043,3,2
407,3,21,20.0027,0.702,0.0,491.19,607.65,1491.19,1255.13,9.35,13.66,334.73,2323.87,8709.45,1.07,44.61,314.72,2388.06,8043.69,9.2586,0.02,366,2324,100.0,24.51,14.7104,3,2
420,3,34,19.9996,0.7014,0.0,491.19,607.02,1489.25,1249.32,9.35,13.65,333.84,2323.91,8706.87,1.08,44.36,314.87,2388.05,8045.34,9.2639,0.02,363,2324,100.0,24.38,14.6943,3,2
421,3,35,20.0037,0.7,0.0,491.19,607.8,1480.04,1255.38,9.35,13.65,334.42,2323.91,8706.78,1.08,44.52,314.64,2388.07,8048.48,9.2258,0.03,365,2324,100.0,24.48,14.55,3,2
422,3,36,20.0071,0.7007,0.0,491.19,608.07,1481.01,1254.84,9.35,13.66,334.58,2323.83,8711.17,1.08,44.43,314.41,2388.06,8040.56,9.236,0.03,366,2324,100.0,24.52,14.6262,3,2
426,3,40,20.007,0.7016,0.0,491.19,607.45,1485.45,1253.18,9.35,13.66,333.76,2323.91,8701.24,1.08,44.46,314.54,2388.07,8046.33,9.2458,0.02,365,2324,100.0,24.41,14.6341,3,2
430,3,44,20.0051,0.7005,0.0,491.19,607.47,1478.6,1254.82,9.35,13.66,334.75,2323.93,8702.18,1.07,44.54,314.51,2388.07,8046.08,9.2398,0.02,366,2324,100.0,24.62,14.5512,3,2
446,3,60,19.9989,0.701,0.0,491.19,607.27,1493.64,1258.54,9.35,13.66,334.81,2323.95,8711.22,1.08,44.52,314.96,2388.04,8042.63,9.2247,0.03,366,2324,100.0,24.37,14.6298,3,2
453,3,67,20.0063,0.7015,0.0,491.19,607.49,1490.76,1249.89,9.35,13.65,334.49,2324.02,8710.56,1.08,44.61,314.95,2388.03,8046.86,9.2355,0.03,367,2324,100.0,24.49,14.5991,3,2
456,3,70,20.0066,0.7004,0.0,491.19,607.91,1484.82,1253.6,9.35,13.66,334.4,2323.91,8703.28,1.07,44.53,314.92,2388.04,8046.52,9.2583,0.02,365,2324,100.0,24.35,14.6523,3,2
468,3,82,20.007,0.7,0.0,491.19,607.88,1489.46,1261.82,9.35,13.66,334.1,2323.98,8708.94,1.08,44.55,314.78,2388.11,8043.84,9.2579,0.03,366,2324,100.0,24.38,14.734,3,2
483,3,97,20.0034,0.7009,0.0,491.19,607.7,1486.08,1264.52,9.35,13.66,333.57,2323.93,8708.02,1.07,44.61,314.02,2388.11,8049.72,9.263,0.02,365,2324,100.0,24.2,14.6572,3,2
485,3,99,20.0071,0.7008,0.0,491.19,607.69,1488.57,1261.75,9.35,13.66,334.18,2324.0,8704.52,1.08,44.82,314.06,2388.13,8049.09,9.231,0.03,365,2324,100.0,24.31,14.5806,3,2
496,3,110,20.0038,0.7006,0.0,491.19,607.92,1488.26,1260.17,9.35,13.66,333.46,2323.99,8707.25,1.08,44.67,314.52,2388.07,8040.21,9.2169,0.03,367,2324,100.0,24.12,14.7248,4,2
497,3,111,20.007,0.7016,0.0,491.19,608.34,1489.15,1255.9,9.35,13.66,333.76,2324.01,8713.31,1.07,44.78,314.92,2388.15,8047.62,9.2525,0.03,367,2324,100.0,24.16,14.6624,4,2
509,3,123,20.0061,0.7002,0.0,491.19,608.28,1495.07,1257.33,9.35,13.66,333.95,2323.97,8709.05,1.07,44.87,314.53,2388.15,8039.43,9.2661,0.03,368,2324,100.0,24.39,14.5791,4,2
516,3,130,20.0065,0.7008,0.0,491.19,608.2,1486.89,1272.12,9.35,13.66,332.98,2324.02,8708.26,1.07,44.78,314.77,2388.11,8045.8,9.2823,0.03,366,2324,100.0,24.2,14.5986,4,2
521,3,135,20.0007,0.7,0.0,491.19,608.57,1486.48,1268.13,9.35,13.66,333.8,2323.97,8703.11,1.07,44.71,314.3,2388.12,8043.56,9.2926,0.03,369,2324,100.0,24.22,14.562,4,2
526,3,140,20.0058,0.7011,0.0,491.19,608.13,1501.91,1267.76,9.35,13.66,333.44,2324.06,8697.7,1.07,45.08,314.04,2388.1,8043.51,9.299,0.03,368,2324,100.0,24.38,14.5837,4,2
548,4,12,20.0053,0.702,0.0,491.19,607.2,1482.6,1245.39,9.35,13.65,335.34,2323.98,8723.9,1.08,44.35,315.18,2388.03,8053.96,9.2048,0.02,366,2324,100.0,24.47,14.7848,3,2
555,4,19,19.9997,0.7014,0.0,491.19,607.41,1486.4,1246.81,9.35,13.65,334.65,2323.94,8714.36,1.08,44.39,315.46,2388.07,8058.49,9.1909,0.02,364,2324,100.0,24.55,14.6863,3,2
560,4,24,20.0028,0.7011,0.0,491.19,607.39,1487.85,1251.56,9.35,13.65,334.91,2323.92,8721.4,1.08,44.38,315.42,2388.07,8057.73,9.2169,0.02,364,2324,100.0,24.49,14.6634,3,2
574,4,38,19.9991,0.7,0.0,491.19,606.82,1481.73,1249.75,9.35,13.65,334.78,2323.93,8715.04,1.08,44.22,315.42,2388.08,8057.62,9.2164,0.02,363,2324,100.0,24.36,14.6138,3,2
