unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
10,1,11,25.0051,0.62,80.0,462.54,537.41,1260.5,1051.56,7.05,9.02,175.86,1915.28,8009.91,0.94,36.66,165.53,2028.24,7866.43,10.8941,0.02,307,1915,84.93,14.28,8.5087,1,6
13,1,14,25.0073,0.6203,80.0,462.54,537.22,1262.8,1051.01,7.05,9.02,175.35,1915.24,8014.89,0.94,36.88,164.63,2028.14,7870.29,10.916,0.02,306,1915,84.93,14.28,8.5684,1,6
18,1,19,25.0018,0.62,80.0,462.54,536.66,1255.21,1053.69,7.05,9.03,174.94,1915.22,8005.22,0.94,36.44,165.27,2028.13,7868.8,10.8969,0.02,308,1915,84.93,14.42,8.5456,1,6
26,1,27,25.0031,0.6206,80.0,462.54,536.89,1267.93,1042.92,7.05,9.03,175.35,1915.28,7999.74,0.94,36.56,164.9,2028.16,7873.32,10.855,0.02,308,1915,84.93,14.21,8.6036,2,6
28,1,29,25.0026,0.62,80.0,462.54,536.59,1256.53,1048.2,7.05,9.03,175.76,1915.25,8005.68,0.94,36.69,164.51,2028.14,7872.87,10.8747,0.02,308,1915,84.93,14.18,8.5572,2,6
31,1,32,25.0013,0.6219,80.0,462.54,537.26,1259.83,1045.0,7.05,9.03,175.83,1915.24,8009.06,0.94,36.51,164.73,2028.11,7866.12,10.872,0.02,305,1915,84.93,14.29,8.5339,2,6
34,1,35,25.0064,0.6201,80.0,462.54,536.97,1263.1,1045.53,7.05,9.02,175.06,1915.26,8012.58,0.94,36.82,165.36,2028.14,7868.51,10.8865,0.02,307,1915,84.93,14.24,8.5842,2,6
39,1,40,25.0035,0.62,80.0,462.54,536.79,1255.04,1046.78,7.05,9.03,175.9,1915.26,8005.49,0.94,36.61,164.49,2028.17,7867.56,10.8652,0.02,306,1915,84.93,14.16,8.5143,2,6
46,1,47,25.0043,0.62,80.0,462.54,536.82,1259.41,1046.21,7.05,9.03,175.69,1915.26,8002.38,0.94,36.61,164.58,2028.1,7871.93,10.8797,0.02,307,1915,84.93,14.15,8.5721,2,6
47,1,48,25.0064,0.62,80.0,462.54,537.16,1265.82,1049.45,7.05,9.03,174.93,1915.28,7997.83,0.94,36.72,164.45,2028.19,7872.18,10.8936,0.02,308,1915,84.93,14.21,8.5909,2,6
50,1,51,25.0059,0.6207,80.0,462.54,537.44,1262.34,1048.85,7.05,9.03,175.34,1915.25,8003.72,0.94,36.75,164.57,2028.16,7868.46,10.8804,0.02,308,1915,84.93,14.34,8.4332,2,6
