unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
1,1,2,0.0015,0.0003,100.0,518.67,642.13,1584.55,1403.96,14.62,21.61,553.67,2388.01,9045.76,1.3,47.29,521.81,2388.15,8132.87,8.3907,0.03,391,2388,100.0,38.99,23.3619,1,3
7,1,8,0.0011,0.0,100.0,518.67,642.08,1589.55,1407.59,14.62,21.61,553.48,2388.1,9050.35,1.3,47.5,521.74,2388.03,8133.29,8.4339,0.03,391,2388,100.0,38.98,23.2337,1,3
8,1,9,0.0011,0.002,100.0,518.67,642.7,1586.18,1399.01,14.62,21.61,553.9,2388.1,9051.35,1.3,47.3,521.72,2388.08,8132.72,8.3922,0.03,392,2388,100.0,38.99,23.2412,1,3
16,1,17,0.0003,0.0,100.0,518.67,642.3,1584.57,1410.11,14.62,21.61,554.0,2388.06,9056.59,1.3,47.44,522.17,2388.1,8133.38,8.434,0.03,392,2388,100.0,38.81,23.3487,1,3
19,1,20,0.0004,0.0017,100.0,518.67,642.31,1581.33,1399.44,14.62,21.61,553.41,2388.09,9049.58,1.3,47.38,521.62,2388.06,8132.25,8.4044,0.03,393,2388,100.0,38.97,23.2494,1,3
21,1,22,0.0004,0.0,100.0,518.67,642.34,1589.25,1401.52,14.62,21.61,553.9,2388.12,9051.82,1.3,47.45,521.55,2388.06,8131.87,8.4423,0.03,392,2388,100.0,38.73,23.3303,1,3
25,1,26,0.0003,0.0004,100.0,518.67,642.9,1591.72,1409.43,14.62,21.61,553.65,2388.05,9046.5,1.3,47.34,521.87,2388.1,8129.74,8.4058,0.03,394,2388,100.0,38.89,23.3626,2,3
27,1,28,0.002,0.0,100.0,518.67,641.6,1590.43,1402.64,14.62,21.61,553.95,2388.07,9053.9,1.3,47.36,521.34,2388.1,8133.24,8.4311,0.03,392,2388,100.0,38.92,23.3587,2,3
33,1,34,0.0019,0.0012,100.0,518.67,642.47,1584.87,1402.4,14.62,21.61,553.92,2388.08,9050.25,1.3,47.38,521.92,2388.1,8126.67,8.4461,0.03,393,2388,100.0,38.96,23.2884,2,3
36,1,37,0.0027,0.0014,100.0,518.67,643.42,1588.85,1410.09,14.62,21.61,553.4,2388.08,9052.89,1.3,47.43,521.57,2388.07,8136.0,8.4264,0.03,392,2388,100.0,38.82,23.3826,2,3
61,1,62,0.0012,0.0002,100.0,518.67,642.56,1589.91,1405.51,14.62,21.61,553.63,2388.05,9049.54,1.3,47.38,521.21,2388.08,8130.14,8.4294,0.03,393,2388,100.0,38.97,23.4194,2,3
89,1,90,0.0012,0.0,100.0,518.67,642.29,1587.81,1406.04,14.62,21.61,554.29,2388.11,9053.41,1.3,47.49,521.53,2388.1,8136.11,8.4231,0.03,393,2388,100.0,38.74,23.323,3,3
96,1,97,0.0001,0.0008,100.0,518.67,642.8,1593.19,1412.7,14.62,21.61,553.77,2388.12,9050.71,1.3,47.55,521.67,2388.15,8138.44,8.4203,0.03,392,2388,100.0,38.73,23.2699,3,3
98,1,99,0.0029,0.0,100.0,518.67,642.71,1592.92,1407.92,14.62,21.61,553.58,2388.11,9054.47,1.3,47.62,521.36,2388.09,8130.6,8.447,0.03,394,2388,100.0,38.97,23.2554,3,3
